model,test_rmse,test_mae,test_r2,test_adj_r2,test_mape_pct,n_nonzero_coefs,n_total_coefs
Linear,20034.84756500891,12308.235617219207,0.8894387594947731,0.8827855167033082,3.536213087855542,34,34
Ridge (1-SE),20153.15446615278,12702.856952621061,0.8881291635777947,0.881397113244423,3.6684370527032724,34,34
Ridge (min),20022.84753442905,12298.862984068803,0.8895711628916556,0.8829258877382331,3.5343327198045538,34,34
Lasso (1-SE),20608.96096943118,13062.644119214798,0.8830115434035855,0.8759715300862791,3.797113127068362,23,34
Lasso (min),19970.32938630482,12260.39257275125,0.8901496932135309,0.8835392322741682,3.526385212629374,32,34
ElasticNet,19984.985775922476,12271.316495427109,0.8899883939515971,0.8833682265079764,3.528550820759312,32,34
